ts,x1,y1,z1,x2,y2,z2,u1,v1,w1,u2,v2,w2
93,0.465954,0.0202967,0,0.534046,-0.000296665,0,47.1751,0.418679,0,-47.1751,-0.418679,0
94,0.470629,0.0203514,0,0.529371,-0.000351387,0,46.7501,0.547216,0,-46.7501,-0.547216,0
95,0.47525,0.0204254,0,0.52475,-0.000425362,0,46.2038,0.739755,0,-46.2038,-0.739755,0
96,0.479798,0.0205296,0,0.520202,-0.000529571,0,45.486,1.04209,0,-45.486,-1.04209,0
97,0.484251,0.0206838,0,0.515749,-0.000683808,0,44.5262,1.54237,0,-44.5262,-1.54237,0
98,0.488575,0.0209251,0,0.511425,-0.000925117,0,43.2426,2.41309,0,-43.2426,-2.41309,0
99,0.492737,0.0213218,0,0.507263,-0.00132179,0,41.6179,3.96673,0,-41.6179,-3.96673,0
100,0.496731,0.0219798,0,0.503269,-0.00197978,0,39.9416,6.5799,0,-39.9416,-6.5799,0
101,0.500629,0.0229892,0,0.499371,-0.00298921,0,38.9826,10.0943,0,-38.9826,-10.0943,0
102,0.504544,0.0243304,0,0.495456,-0.00433042,0,39.1434,13.412,0,-39.1434,-13.412,0
103,0.508533,0.0259085,0,0.491467,-0.00590855,0,39.8946,15.7813,0,-39.8946,-15.7813,0
104,0.512604,0.0276386,0,0.487396,-0.00763857,0,40.7093,17.3002,0,-40.7093,-17.3002,0
105,0.516745,0.0294658,0,0.483255,-0.00946584,0,41.4042,18.2727,0,-41.4042,-18.2727,0
106,0.520941,0.0313577,0,0.479059,-0.0113577,0,41.9599,18.9186,0,-41.9599,-18.9186,0
107,0.52518,0.0332944,0,0.47482,-0.0132944,0,42.3994,19.367,0,-42.3994,-19.367,0
108,0.529455,0.0352635,0,0.470545,-0.0152635,0,42.7499,19.6912,0,-42.7499,-19.6912,0
109,0.533759,0.0372569,0,0.466241,-0.0172569,0,43.033,19.934,0,-43.033,-19.934,0
110,0.538085,0.0392691,0,0.461915,-0.0192691,0,43.2652,20.1215,0,-43.2652,-20.1215,0
111,0.542431,0.041296,0,0.457569,-0.021296,0,43.4582,20.2698,0,-43.4582,-20.2698,0
112,0.546793,0.043335,0,0.453207,-0.023335,0,43.6209,20.3898,0,-43.6209,-20.3898,0
113,0.551169,0.0453839,0,0.448831,-0.0253839,0,43.7595,20.4885,0,-43.7595,-20.4885,0
114,0.555557,0.047441,0,0.444443,-0.027441,0,43.8789,20.5711,0,-43.8789,-20.5711,0
115,0.559955,0.0495051,0,0.440045,-0.0295051,0,43.9826,20.641,0,-43.9826,-20.641,0
116,0.564363,0.0515752,0,0.435637,-0.0315752,0,44.0736,20.701,0,-44.0736,-20.701,0
117,0.568778,0.0536505,0,0.431222,-0.0336505,0,44.154,20.7529,0,-44.154,-20.7529,0
118,0.573201,0.0557303,0,0.426799,-0.0357303,0,44.2255,20.7982,0,-44.2255,-20.7982,0
119,0.57763,0.0578141,0,0.42237,-0.0378141,0,44.2894,20.8382,0,-44.2894,-20.8382,0
120,0.582064,0.0599015,0,0.417936,-0.0399015,0,44.347,20.8736,0,-44.347,-20.8736,0
121,0.586504,0.061992,0,0.413496,-0.041992,0,44.399,20.9053,0,-44.399,-20.9053,0
122,0.590949,0.0640854,0,0.409051,-0.0440854,0,44.4463,20.9337,0,-44.4463,-20.9337,0
123,0.595398,0.0661813,0,0.404602,-0.0461813,0,44.4894,20.9593,0,-44.4894,-20.9593,0
124,0.599851,0.0682795,0,0.400149,-0.0482795,0,44.5289,20.9826,0,-44.5289,-20.9826,0
125,0.604307,0.0703799,0,0.395693,-0.0503799,0,44.5652,21.0038,0,-44.5652,-21.0038,0
126,0.608767,0.0724822,0,0.391233,-0.0524822,0,44.5986,21.0231,0,-44.5986,-21.0231,0
127,0.61323,0.0745863,0,0.38677,-0.0545863,0,44.6296,21.0409,0,-44.6296,-21.0409,0
128,0.617696,0.0766921,0,0.382304,-0.0566921,0,44.6583,21.0573,0,-44.6583,-21.0573,0
129,0.622164,0.0787993,0,0.377836,-0.0587993,0,44.685,21.0724,0,-44.685,-21.0724,0
130,0.626635,0.0809079,0,0.373365,-0.0609079,0,44.7099,21.0864,0,-44.7099,-21.0864,0
131,0.631109,0.0830179,0,0.368891,-0.0630179,0,44.7332,21.0995,0,-44.7332,-21.0995,0
132,0.635584,0.085129,0,0.364416,-0.065129,0,44.755,21.1116,0,-44.755,-21.1116,0
133,0.640062,0.0872413,0,0.359938,-0.0672413,0,44.7754,21.1229,0,-44.7754,-21.1229,0
134,0.644541,0.0893547,0,0.355459,-0.0693547,0,44.7946,21.1335,0,-44.7946,-21.1335,0
135,0.649022,0.091469,0,0.350978,-0.071469,0,44.8128,21.1435,0,-44.8128,-21.1435,0
136,0.653505,0.0935843,0,0.346495,-0.0735843,0,44.8298,21.1528,0,-44.8298,-21.1528,0
137,0.65799,0.0957005,0,0.34201,-0.0757005,0,44.846,21.1616,0,-44.846,-21.1616,0
138,0.662476,0.0978175,0,0.337524,-0.0778175,0,44.8613,21.1699,0,-44.8613,-21.1699,0
139,0.666964,0.0999353,0,0.333036,-0.0799353,0,44.8758,21.1777,0,-44.8758,-21.1777,0
140,0.671453,0.102054,0,0.328547,-0.0820538,0,44.8895,21.1851,0,-44.8895,-21.1851,0
141,0.675943,0.104173,0,0.324057,-0.084173,0,44.9026,21.1922,0,-44.9026,-21.1922,0
142,0.680434,0.106293,0,0.319566,-0.0862929,0,44.915,21.1988,0,-44.915,-21.1988,0
143,0.684927,0.108413,0,0.315073,-0.0884134,0,44.9269,21.2051,0,-44.9269,-21.2051,0
144,0.689421,0.110534,0,0.310579,-0.0905345,0,44.9382,21.2112,0,-44.9382,-21.2112,0
145,0.693916,0.112656,0,0.306084,-0.0926562,0,44.949,21.2169,0,-44.949,-21.2169,0
146,0.698412,0.114778,0,0.301588,-0.0947784,0,44.9593,21.2223,0,-44.9593,-21.2223,0
147,0.702909,0.116901,0,0.297091,-0.0969012,0,44.9691,21.2276,0,-44.9691,-21.2276,0
148,0.707406,0.119024,0,0.292594,-0.0990244,0,44.9786,21.2325,0,-44.9786,-21.2325,0
149,0.711905,0.121148,0,0.288095,-0.101148,0,44.9876,21.2373,0,-44.9876,-21.2373,0
