ts,time,wall_time,mp_count.X,real_count.X,px.X,py.X,pz.X,KE.X,mp_count.X+,real_count.X+,px.X+,py.X+,pz.X+,KE.X+,PE,E_total
143,2.88e-05,2.9968,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
144,2.9e-05,3.00191,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
145,2.92e-05,3.00584,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
146,2.94e-05,3.00932,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
147,2.96e-05,3.01315,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
148,2.98e-05,3.01665,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
149,3e-05,3.02025,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
150,3.02e-05,3.02481,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
151,3.04e-05,3.74643,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
152,3.06e-05,3.75054,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
153,3.08e-05,3.75641,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
154,3.1e-05,3.76117,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
155,3.12e-05,3.76554,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
156,3.14e-05,3.77045,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
157,3.16e-05,3.77453,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
158,3.18e-05,3.77891,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
159,3.2e-05,3.78308,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
160,3.22e-05,3.78716,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
161,3.24e-05,3.79114,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
162,3.26e-05,3.79533,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
163,3.28e-05,3.79925,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
164,3.3e-05,3.80315,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
165,3.32e-05,3.80758,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
166,3.34e-05,3.81189,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
167,3.36e-05,3.81552,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
168,3.38e-05,3.81914,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
169,3.4e-05,3.82358,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
170,3.42e-05,3.8287,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
171,3.44e-05,3.83339,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
172,3.46e-05,3.83812,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
173,3.48e-05,3.8424,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
174,3.5e-05,3.84654,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
175,3.52e-05,3.85005,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
176,3.54e-05,3.85371,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
177,3.56e-05,3.85798,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
178,3.58e-05,3.8625,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
179,3.6e-05,3.86699,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
180,3.62e-05,3.87088,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
181,3.64e-05,3.87432,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
182,3.66e-05,3.87888,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
183,3.68e-05,3.88327,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
184,3.7e-05,3.88765,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
185,3.72e-05,3.89236,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
186,3.74e-05,3.89665,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
187,3.76e-05,3.90037,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
188,3.78e-05,3.90449,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
189,3.8e-05,3.90916,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
190,3.82e-05,3.91404,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
191,3.84e-05,3.91871,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
192,3.86e-05,3.92368,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
193,3.88e-05,3.92833,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
194,3.9e-05,3.93259,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
195,3.92e-05,3.93696,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
196,3.94e-05,3.94131,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
197,3.96e-05,3.94552,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
198,3.98e-05,3.95007,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
199,4e-05,3.95473,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
200,4.02e-05,3.95926,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
201,4.04e-05,4.7213,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
202,4.06e-05,4.72526,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
203,4.08e-05,4.73113,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
204,4.1e-05,4.73583,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
205,4.12e-05,4.74043,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
206,4.14e-05,4.74565,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
207,4.16e-05,4.74981,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
208,4.18e-05,4.75448,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
209,4.2e-05,4.7585,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
210,4.22e-05,4.7631,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
211,4.24e-05,4.76669,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
212,4.26e-05,4.7703,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
213,4.28e-05,4.77468,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
214,4.3e-05,4.77987,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
215,4.32e-05,4.78441,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
216,4.34e-05,4.78905,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
217,4.36e-05,4.79335,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
218,4.38e-05,4.79793,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
219,4.4e-05,4.80226,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
220,4.42e-05,4.80659,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
221,4.44e-05,4.81083,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
222,4.46e-05,4.81509,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
223,4.48e-05,4.8193,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
224,4.5e-05,4.8236,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
225,4.52e-05,4.82854,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
226,4.54e-05,4.83301,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
227,4.56e-05,4.83712,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
228,4.58e-05,4.84083,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
229,4.6e-05,4.84457,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
230,4.62e-05,4.84851,0,0,0,0,0,0,0,0,0,0,0,0,2.55643e-07,2.55643e-07
