x,y
-1.611e-05,1.86504e-05
-1.62164e-05,1.86697e-05
-1.63229e-05,1.86886e-05
-1.64296e-05,1.87068e-05
-1.65364e-05,1.87246e-05
-1.66434e-05,1.87418e-05
-1.67505e-05,1.87585e-05
-1.68577e-05,1.87746e-05
-1.69651e-05,1.87902e-05
-1.70725e-05,1.88053e-05
-1.71802e-05,1.88198e-05
-1.72879e-05,1.88338e-05
-1.73957e-05,1.88473e-05
-1.75037e-05,1.88602e-05
-1.76118e-05,1.88726e-05
-1.772e-05,1.88844e-05
-1.78283e-05,1.88957e-05
-1.79367e-05,1.89064e-05
-1.80452e-05,1.89166e-05
-1.81539e-05,1.89263e-05
-1.82626e-05,1.89354e-05
-1.83714e-05,1.8944e-05
-1.84803e-05,1.8952e-05
-1.85893e-05,1.89595e-05
-1.86984e-05,1.89664e-05
-1.88075e-05,1.89728e-05
-1.89168e-05,1.89787e-05
-1.90261e-05,1.8984e-05
-1.91355e-05,1.89887e-05
-1.9245e-05,1.89929e-05
-1.93546e-05,1.89966e-05
-1.94642e-05,1.89997e-05
-1.95739e-05,1.90022e-05
-1.96836e-05,1.90043e-05
-1.97934e-05,1.90057e-05
-1.99033e-05,1.90066e-05
-2.00132e-05,1.9007e-05
-2.01232e-05,1.90068e-05
-2.02332e-05,1.9006e-05
-2.03433e-05,1.90048e-05
-2.04534e-05,1.90029e-05
-2.05635e-05,1.90005e-05
-2.06737e-05,1.89976e-05
-2.07839e-05,1.89941e-05
-2.08942e-05,1.899e-05
-2.10045e-05,1.89854e-05
-2.11148e-05,1.89803e-05
-2.12251e-05,1.89746e-05
-2.13355e-05,1.89683e-05
-2.14459e-05,1.89615e-05
-2.15563e-05,1.89541e-05
-2.16667e-05,1.89462e-05
-2.17771e-05,1.89377e-05
-2.18875e-05,1.89287e-05
-2.1998e-05,1.89191e-05
-2.21084e-05,1.8909e-05
-2.22188e-05,1.88983e-05
-2.23293e-05,1.88871e-05
-2.24397e-05,1.88753e-05
-2.25501e-05,1.8863e-05
-2.26605e-05,1.88501e-05
-2.27709e-05,1.88366e-05
-2.28813e-05,1.88226e-05
-2.29916e-05,1.88081e-05
-2.31019e-05,1.8793e-05
-2.32122e-05,1.87773e-05
-2.33225e-05,1.87611e-05
-2.34328e-05,1.87444e-05
-2.3543e-05,1.87271e-05
-2.36531e-05,1.87092e-05
-2.37633e-05,1.86908e-05
-2.38734e-05,1.86718e-05
-2.39834e-05,1.86523e-05
