t, ft, filtered ft Array, filtered ft Vector
1.96304,0.290706,0.27454,0.27454
1.96703,0.306314,0.273763,0.273763
1.97103,0.246301,0.305322,0.305322
1.97502,0.302658,0.334769,0.334769
1.97902,0.227609,0.349795,0.349795
1.98302,0.454356,0.378823,0.378823
1.98701,0.515442,0.376861,0.376861
1.99101,0.395887,0.390513,0.390513
1.995,0.509508,0.388693,0.388693
1.999,0.232566,0.362854,0.362854
2.003,0.398224,0.356421,0.356421
2.00699,0.214866,0.340316,0.340316
2.01099,0.273486,0.305895,0.305895
2.01499,0.470407,0.314066,0.314066
2.01898,0.283152,0.293308,0.293308
2.02298,0.268562,0.297035,0.297035
2.02697,0.289768,0.297341,0.297341
2.03097,0.252917,0.265077,0.265077
2.03497,0.24095,0.254982,0.254982
2.03896,0.27563,0.245401,0.245401
2.04296,0.24456,0.230153,0.230153
2.04695,0.212486,0.21024,0.21024
2.05095,0.201493,0.199998,0.199998
2.05494,0.183034,0.178278,0.178278
2.05894,0.113526,0.164262,0.164262
2.06294,0.169254,0.13372,0.13372
2.06693,0.123592,0.120487,0.120487
2.07093,0.14645,0.0915243,0.0915243
2.07492,-0.00131117,0.0887001,0.0887001
2.07892,0.108864,0.0485505,0.0485505
2.08292,-0.0197051,0.0120712,0.0120712
2.08691,0.0937571,-0.0240513,-0.0240513
2.09091,-0.111794,-0.0181268,-0.0181268
2.0949,-0.131763,-0.0405904,-0.0405904
2.0989,-0.106407,-0.0684274,-0.0684274
2.1029,0.0401603,-0.125484,-0.125484
2.10689,-0.0483815,-0.134179,-0.134179
2.11089,-0.214564,-0.152398,-0.152398
2.11489,-0.305637,-0.178068,-0.178068
2.11888,-0.172657,-0.227428,-0.227428
2.12288,-0.259299,-0.262973,-0.262973
2.12687,-0.286094,-0.28294,-0.28294
2.13087,-0.305364,-0.282033,-0.282033
2.13487,-0.297196,-0.302518,-0.302518
2.13886,-0.354332,-0.312696,-0.312696
2.14286,-0.299285,-0.317988,-0.317988
2.14685,-0.316057,-0.320417,-0.320417
2.15085,-0.330545,-0.333881,-0.333881
2.15485,-0.32314,-0.336632,-0.336632
2.15884,-0.32236,-0.331565,-0.331565
2.16284,-0.391445,-0.33673,-0.33673
2.16683,-0.37359,-0.354237,-0.354237
2.17083,-0.263816,-0.35585,-0.35585
