t, ft, filtered ft Array, filtered ft Vector
1.81518,-0.434365,-0.35583,-0.35583
1.81918,-0.297516,-0.362632,-0.362632
1.82318,-0.502664,-0.372821,-0.372821
1.82717,-0.331072,-0.375445,-0.375445
1.83117,-0.394717,-0.388708,-0.388708
1.83516,-0.411241,-0.383253,-0.383253
1.83916,-0.381855,-0.380313,-0.380313
1.84316,-0.350661,-0.383758,-0.383758
1.84715,-0.368212,-0.366303,-0.366303
1.85115,-0.367272,-0.346641,-0.346641
1.85514,-0.332931,-0.331715,-0.331715
1.85914,-0.401138,-0.320148,-0.320148
1.86314,-0.337215,-0.312739,-0.312739
1.86713,-0.353426,-0.289746,-0.289746
1.87113,-0.358519,-0.280855,-0.280855
1.87512,-0.266458,-0.266067,-0.266067
1.87912,-0.305733,-0.23898,-0.23898
1.88312,-0.3562,-0.216961,-0.216961
1.88711,-0.109206,-0.200528,-0.200528
1.89111,-0.0914453,-0.180647,-0.180647
1.8951,-0.214163,-0.159195,-0.159195
1.8991,-0.191469,-0.138438,-0.138438
1.9031,-0.141925,-0.110359,-0.110359
1.90709,-0.0198054,-0.0853056,-0.0853056
1.91109,-0.144356,-0.0573826,-0.0573826
1.91508,-0.0841754,-0.0286446,-0.0286446
1.91908,0.157586,-0.00234638,-0.00234638
1.92308,0.0805493,0.0258223,0.0258223
1.92707,-0.00556335,0.0555762,0.0555762
1.93107,0.0492822,0.080861,0.080861
1.93506,0.0832145,0.102197,0.102197
1.93906,0.102958,0.132098,0.132098
1.94306,0.188534,0.158579,0.158579
1.94705,0.188902,0.176348,0.176348
1.95105,0.232957,0.202894,0.202894
1.95504,0.244979,0.231994,0.231994
1.95904,0.285805,0.250546,0.250546
1.96304,0.285809,0.263118,0.263118
1.96703,0.268632,0.273874,0.273874
1.97103,0.421776,0.296338,0.296338
1.97502,0.356617,0.313459,0.313459
1.97902,0.413748,0.328762,0.328762
1.98302,0.364635,0.344763,0.344763
1.98701,0.231214,0.352542,0.352542
1.99101,0.537667,0.356494,0.356494
1.995,0.466751,0.357033,0.357033
1.999,0.305411,0.356399,0.356399
2.003,0.421599,0.354121,0.354121
2.00699,0.306435,0.351379,0.351379
2.01099,0.466166,0.34814,0.34814
2.01499,0.408836,0.337574,0.337574
2.01898,0.404567,0.326873,0.326873
2.02298,0.438986,0.311028,0.311028
2.02697,0.351894,0.302418,0.302418
2.03097,0.271898,0.292869,0.292869
2.03497,0.244271,0.275461,0.275461
2.03896,0.231666,0.255389,0.255389
2.04296,0.237955,0.246501,0.246501
2.04695,0.228227,0.225358,0.225358
2.05095,0.200612,0.202566,0.202566
2.05494,0.199904,0.170367,0.170367
2.05894,0.131891,0.146624,0.146624
2.06294,0.0810107,0.129444,0.129444
2.06693,0.183808,0.107489,0.107489
2.07093,0.0307003,0.0782741,0.0782741
2.07492,0.172091,0.050903,0.050903
2.07892,0.0452497,0.0352424,0.0352424
2.08292,0.118762,0.0141473,0.0141473
2.08691,-0.0224138,-0.0128888,-0.0128888
2.09091,-0.172188,-0.0383431,-0.0383431
2.0949,-0.210014,-0.0626692,-0.0626692
2.0989,-0.0897785,-0.0848224,-0.0848224
2.1029,0.0437813,-0.104896,-0.104896
2.10689,-0.0220585,-0.123306,-0.123306
2.11089,-0.261619,-0.147584,-0.147584
2.11489,-0.302895,-0.165072,-0.165072
2.11888,-0.0846018,-0.190632,-0.190632
