ts, time, num_ions, ion Current, num_electrons, elec Current
Avg KE Electrons,0.14896, Avg KE Ions,0.00432603,,
21800,2.18e-06,184908,0.352479,183781,0.392533
21900,2.19e-06,184870,0.304414,183756,0.200272
22000,2.2e-06,184828,0.336457,183716,0.320435
22100,2.21e-06,184779,0.392533,183681,0.280381
22200,2.22e-06,184735,0.352479,183637,0.352479
22300,2.23e-06,184686,0.392533,183590,0.376511
22400,2.24e-06,184629,0.45662,183542,0.384522
22500,2.25e-06,184586,0.344468,183500,0.336457
22600,2.26e-06,184535,0.408555,183458,0.336457
22700,2.27e-06,184494,0.328446,183422,0.288392
22800,2.28e-06,184449,0.36049,183389,0.264359
22900,2.29e-06,184401,0.384522,183348,0.328446
23000,2.3e-06,184356,0.36049,183302,0.368501
23100,2.31e-06,184308,0.384522,183253,0.392533
23200,2.32e-06,184261,0.376511,183194,0.472642
23300,2.33e-06,184213,0.384522,183160,0.27237
23400,2.34e-06,184151,0.496675,183118,0.336457
23500,2.35e-06,184097,0.432588,183097,0.168229
23600,2.36e-06,184059,0.304414,183058,0.312424
23700,2.37e-06,184009,0.400544,183026,0.256348
23800,2.38e-06,183962,0.376511,182986,0.320435
23900,2.39e-06,183919,0.344468,182950,0.288392
24000,2.4e-06,183877,0.336457,182905,0.36049
24100,2.41e-06,183826,0.408555,182867,0.304414
24200,2.42e-06,183782,0.352479,182833,0.27237
24300,2.43e-06,183732,0.400544,182791,0.336457
24400,2.44e-06,183693,0.312424,182765,0.208283
24500,2.45e-06,183651,0.336457,182726,0.312424
24600,2.46e-06,183600,0.408555,182692,0.27237
24700,2.47e-06,183561,0.312424,182663,0.232316
24800,2.48e-06,183521,0.320435,182608,0.440599
24900,2.49e-06,183470,0.408555,182574,0.27237
25000,2.5e-06,183426,0.352479,182532,0.336457
25100,2.51e-06,183384,0.336457,182496,0.288392
25200,2.52e-06,183340,0.352479,182460,0.288392
25300,2.53e-06,183311,0.232316,182426,0.27237
25400,2.54e-06,183262,0.392533,182400,0.208283
25500,2.55e-06,183231,0.248337,182376,0.192261
25600,2.56e-06,183196,0.280381,182346,0.240326
25700,2.57e-06,183147,0.392533,182306,0.320435
25800,2.58e-06,183102,0.36049,182281,0.200272
25900,2.59e-06,183061,0.328446,182247,0.27237
26000,2.6e-06,183019,0.336457,182215,0.256348
26100,2.61e-06,182977,0.336457,182181,0.27237
26200,2.62e-06,182925,0.416566,182140,0.328446
26300,2.63e-06,182889,0.288392,182089,0.408555
26400,2.64e-06,182848,0.328446,182038,0.408555
26500,2.65e-06,182804,0.352479,182005,0.264359
26600,2.66e-06,182762,0.336457,181978,0.216294
26700,2.67e-06,182717,0.36049,181955,0.18425
26800,2.68e-06,182670,0.376511,181906,0.392533
26900,2.69e-06,182635,0.280381,181868,0.304414
27000,2.7e-06,182600,0.280381,181831,0.296403
27100,2.71e-06,182569,0.248337,181807,0.192261
27200,2.72e-06,182534,0.280381,181764,0.344468
27300,2.73e-06,182496,0.304414,181731,0.264359
27400,2.74e-06,182461,0.280381,181708,0.18425
27500,2.75e-06,182428,0.264359,181682,0.208283
27600,2.76e-06,182396,0.256348,181654,0.224305
27700,2.77e-06,182357,0.312424,181629,0.200272
27800,2.78e-06,182317,0.320435,181602,0.216294
27900,2.79e-06,182295,0.176239,181580,0.176239
28000,2.8e-06,182256,0.312424,181544,0.288392
28100,2.81e-06,182225,0.248337,181515,0.232316
28200,2.82e-06,182190,0.280381,181459,0.448609
28300,2.83e-06,182151,0.312424,181410,0.392533
28400,2.84e-06,182120,0.248337,181384,0.208283
28500,2.85e-06,182087,0.264359,181343,0.328446
28600,2.86e-06,182048,0.312424,181281,0.496675
28700,2.87e-06,182014,0.27237,181236,0.36049
28800,2.88e-06,181974,0.320435,181194,0.336457
28900,2.89e-06,181946,0.224305,181133,0.488664
29000,2.9e-06,181922,0.192261,181101,0.256348
29100,2.91e-06,181892,0.240326,181081,0.160218
29200,2.92e-06,181864,0.224305,181064,0.136185
29300,2.93e-06,181831,0.264359,181027,0.296403
29400,2.94e-06,181799,0.256348,180995,0.256348
29500,2.95e-06,181771,0.224305,180975,0.160218
29600,2.96e-06,181744,0.216294,180954,0.168229
29700,2.97e-06,181716,0.224305,180928,0.208283
29800,2.98e-06,181681,0.280381,180882,0.368501
29900,2.99e-06,181648,0.264359,180855,0.216294
30000,3e-06,181626,0.176239,180814,0.328446
30100,3.01e-06,181604,0.176239,180793,0.168229
30200,3.02e-06,181568,0.288392,180784,0.0720979
30300,3.03e-06,181537,0.248337,180775,0.0720979
30400,3.04e-06,181506,0.248337,180746,0.232316
30500,3.05e-06,181463,0.344468,180720,0.208283
30600,3.06e-06,181438,0.200272,180678,0.336457
30700,3.07e-06,181415,0.18425,180661,0.136185
30800,3.08e-06,181379,0.288392,180646,0.120163
30900,3.09e-06,181342,0.296403,180624,0.176239
31000,3.1e-06,181307,0.280381,180600,0.192261
31100,3.11e-06,181265,0.336457,180568,0.256348
31200,3.12e-06,181226,0.312424,180543,0.200272
31300,3.13e-06,181192,0.27237,180522,0.168229
31400,3.14e-06,181155,0.296403,180483,0.312424
31500,3.15e-06,181123,0.256348,180458,0.200272
31600,3.16e-06,181069,0.432588,180425,0.264359
31700,3.17e-06,181038,0.248337,180405,0.160218
31800,3.18e-06,181003,0.280381,180372,0.264359
31900,3.19e-06,180961,0.336457,180349,0.18425
32000,3.2e-06,180928,0.264359,180316,0.264359
